2023-12-04 %M:18, INFO: (config) encodertype:vae,beta: 0.000250, seq_length: 4, 
2023-12-04 %M:18, INFO: Learning rate:0.001000
2023-12-04 %M:23, INFO: Phase : train, sequential data : 46046
2023-12-04 %M:23, INFO: Phase : val, sequential data : 4835
2023-12-04 %M:50, INFO: (config) encodertype:vae,beta: 0.000250, seq_length: 4, 
2023-12-04 %M:50, INFO: Learning rate:0.001000
2023-12-04 %M:56, INFO: Phase : train, sequential data : 46046
2023-12-04 %M:57, INFO: Phase : val, sequential data : 4835
2023-12-04 %M:23, INFO: (config) encodertype:vae,beta: 0.000250, seq_length: 4, 
2023-12-04 %M:23, INFO: Learning rate:0.001000
2023-12-04 %M:29, INFO: Phase : train, sequential data : 46046
2023-12-04 %M:30, INFO: Phase : val, sequential data : 4835
2023-12-04 %M:27, INFO: (config) encodertype:vae,beta: 0.000250, seq_length: 4, 
2023-12-04 %M:27, INFO: Learning rate:0.001000
2023-12-04 %M:33, INFO: Phase : train, sequential data : 46046
2023-12-04 %M:34, INFO: Phase : val, sequential data : 4835
2023-12-04 %M:46, INFO: (Epoch 1) recon_loss: 478.0328, k_loss: 2545.3025
2023-12-04 %M:55, INFO: (Epoch 2) recon_loss: 186.8530, k_loss: 3608.1470
2023-12-04 %M:04, INFO: (Epoch 3) recon_loss: 167.7814, k_loss: 3260.8425
2023-12-04 %M:12, INFO: (Epoch 4) recon_loss: 158.0397, k_loss: 2353.5458
2023-12-04 %M:19, INFO: (Epoch 5) recon_loss: 144.8512, k_loss: 1316.7329
2023-12-04 %M:28, INFO: (Epoch 6) recon_loss: 127.6401, k_loss: 1227.6075
2023-12-04 %M:38, INFO: (Epoch 7) recon_loss: 109.3837, k_loss: 1105.1091
2023-12-04 %M:47, INFO: (Epoch 8) recon_loss: 97.8838, k_loss: 1380.5202
2023-12-04 %M:57, INFO: (Epoch 9) recon_loss: 88.2993, k_loss: 1188.1772
2023-12-04 %M:06, INFO: (Epoch 10) recon_loss: 83.0601, k_loss: 1364.9968
2023-12-04 %M:16, INFO: (Epoch 11) recon_loss: 84.1376, k_loss: 1766.9371
2023-12-04 %M:25, INFO: (Epoch 12) recon_loss: 78.5143, k_loss: 2105.4240
2023-12-04 %M:35, INFO: (Epoch 13) recon_loss: 74.2592, k_loss: 2335.8078
2023-12-04 %M:45, INFO: (Epoch 14) recon_loss: 69.9950, k_loss: 1949.7605
2023-12-04 %M:54, INFO: (Epoch 15) recon_loss: 68.2909, k_loss: 1734.1390
2023-12-04 %M:04, INFO: (Epoch 16) recon_loss: 65.0489, k_loss: 1354.0914
2023-12-04 %M:14, INFO: (Epoch 17) recon_loss: 64.1638, k_loss: 1340.0648
2023-12-04 %M:24, INFO: (Epoch 18) recon_loss: 67.1295, k_loss: 2648.4079
2023-12-04 %M:33, INFO: (Epoch 19) recon_loss: 61.4243, k_loss: 1641.4382
2023-12-04 %M:34, INFO: (Eval Epoch 20) recon_loss: 68.1592, k_loss: 1444.9394
2023-12-04 %M:17, INFO: (Epoch 20) recon_loss: 59.0933, k_loss: 1418.3758
2023-12-04 %M:26, INFO: (Epoch 21) recon_loss: 62.9589, k_loss: 2487.9216
2023-12-04 %M:36, INFO: (Epoch 22) recon_loss: 58.0790, k_loss: 1810.8301
2023-12-04 %M:46, INFO: (Epoch 23) recon_loss: 56.5295, k_loss: 1628.7400
2023-12-04 %M:56, INFO: (Epoch 24) recon_loss: 55.0556, k_loss: 1510.5562
2023-12-04 %M:06, INFO: (Epoch 25) recon_loss: 54.6249, k_loss: 1466.4394
2023-12-04 %M:15, INFO: (Epoch 26) recon_loss: 54.5601, k_loss: 1553.1256
2023-12-04 %M:25, INFO: (Epoch 27) recon_loss: 52.8756, k_loss: 1536.4560
2023-12-04 %M:35, INFO: (Epoch 28) recon_loss: 51.5917, k_loss: 1468.0716
2023-12-04 %M:45, INFO: (Epoch 29) recon_loss: 50.8275, k_loss: 1418.6685
2023-12-04 %M:54, INFO: (Epoch 30) recon_loss: 50.0327, k_loss: 1417.5311
2023-12-04 %M:04, INFO: (Epoch 31) recon_loss: 49.8935, k_loss: 1487.3687
2023-12-04 %M:14, INFO: (Epoch 32) recon_loss: 49.3634, k_loss: 1471.5592
2023-12-04 %M:23, INFO: (Epoch 33) recon_loss: 49.0368, k_loss: 1501.9967
2023-12-04 %M:33, INFO: (Epoch 34) recon_loss: 48.0375, k_loss: 1545.0473
2023-12-04 %M:42, INFO: (Epoch 35) recon_loss: 47.6286, k_loss: 1477.8353
2023-12-04 %M:52, INFO: (Epoch 36) recon_loss: 47.2449, k_loss: 1472.2874
