misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,431,-10.567330216216217,1.419477903842926,0.08689142130315304,1.5431977272033692
40,14760,431,-8.615666544303798,1.4201691389083861,0.04610634204000234,1.6926208555698394
60,21960,433,-6.856686909999999,1.420411801338196,0.03273211666382849,1.4693842828273773
80,29160,433,-8.92105383,1.4202730417251588,0.034707491658627986,1.5846252918243409
100,36360,433,-8.24854242,1.420487153530121,0.03162633217871189,3.2969849050045013
120,43560,433,-7.13845918,1.420450222492218,0.03335227742791176,1.4805696129798889
140,50760,432,-9.00783492,1.4202269077301026,0.00783279947936535,5.665053403377533
160,57960,433,-10.847994650000002,1.4202383279800415,0.01796870110556483,2.4013431429862977
180,65160,433,-8.32010854,1.4206351399421693,0.028669132106006145,1.8184714555740356
200,72360,432,-8.929796829999999,1.4204039812088012,0.01770092509686947,1.4762151002883912
220,79560,431,-6.9012806100000015,1.420057487487793,0.015433282777667045,1.8245699048042296
240,86760,431,-5.433248130000001,1.4197319746017456,0.032782342936843636,1.4244327187538146
260,93960,431,-4.63713013,1.4195310592651367,0.012905797665007412,1.4147535562515259
280,101160,430,-6.29940713,1.4190764904022217,0.009584388881921767,2.1787346720695497
300,108360,430,-7.926405279999999,1.4187490701675416,0.009727352112531663,2.74299396276474
320,115560,430,-7.37808308,1.4182696342468262,0.00036525391042232516,2.0720784664154053
340,122760,430,-6.398156969999999,1.4180000185966493,0.001499723643064499,1.8706840872764587
360,129960,430,-4.9048424299999995,1.4173699498176575,-0.0034468637779355047,1.019322919845581
380,137160,430,-4.17806384,1.4173797249794007,0.009031793102622032,1.904808223247528
400,144360,430,-3.95020083,1.4172220706939698,0.010597210098057985,1.5768263339996338
420,151560,430,-4.82051624,1.417146670818329,0.008978398889303208,1.238884961605072
440,158760,429,-4.16955921,1.4168230295181274,0.0038347810506820677,3.481913334131241
460,165960,429,-3.9200244899999994,1.4165623426437377,0.00027750395238399503,1.6761738896369933
480,173160,429,-4.2609046699999995,1.4165056109428407,0.0085350401699543,1.5793174862861634
500,180360,428,-3.9190920399999998,1.416086530685425,0.008681529387831687,0.9572595238685608
520,187560,428,-5.10602781,1.4158073782920837,0.0066413071006536485,2.188667047023773
540,194760,428,-5.07522556,1.415194845199585,0.006608565896749496,1.2702325224876403
560,201960,428,-5.14939528,1.4150060653686523,0.017044438607990743,1.471974217891693
580,209160,428,-5.31478433,1.414644455909729,0.012269265949726105,1.9679187536239624
600,216360,427,-4.24225236,1.414533531665802,0.017502073664218187,1.6700950145721436
620,223560,427,-2.63753152,1.414555025100708,0.008667229115962983,1.564194118976593
640,230760,427,-2.9811764300000005,1.4143431782722473,0.006108635663986206,2.449469339847565
660,237960,426,-3.23025759,1.4140050768852235,0.01205567978322506,0.7897095322608948
680,245160,426,-2.55783922,1.413719892501831,0.015259747952222824,2.0677650332450868
700,252360,425,-2.9782638799999988,1.413797628879547,-0.006690378487110138,1.3509214401245118
720,259560,425,-3.5031896700000003,1.413605260848999,0.0014118533930741251,2.1433126449584963
740,266760,424,-2.3947786700000004,1.413386344909668,0.012534528225660323,1.190864658355713
760,273960,424,-3.64192805,1.4129190325737,0.017800827883183955,2.6284424901008605
780,281160,424,-3.8877326999999995,1.4125210404396058,-0.006614620517939329,1.2549092292785644
800,288360,423,-4.00866643,1.4122509241104126,0.005873648077249527,1.2614601254463196
820,295560,423,-3.6937285000000006,1.411798322200775,0.01287439614534378,1.5902029633522035
840,302760,422,-2.22421995,1.4114734053611755,0.009312762692570687,2.6643777668476103
860,309960,422,-1.72141815,1.4112343668937684,0.01336277334485203,1.4114289462566376
880,317160,422,-1.3937977599999996,1.4110697269439698,0.01820474863052368,1.1088819265365601
900,324360,422,-0.77271018,1.411162054538727,0.019005147740244865,1.8091046214103699
920,331560,421,-0.9597490399999999,1.4110750794410705,0.004029180109500885,1.0261521100997926
940,338760,421,-1.2269682599999998,1.4109845995903014,0.008589811623096466,1.6371236085891723
960,345960,421,-1.5301006899999998,1.4109015107154845,0.008380431309342384,1.3950198471546174
980,353160,421,-0.53527703,1.4104382634162902,0.016163472644984724,1.4555040001869202
1000,360360,421,0.10591273000000005,1.4103190541267394,0.018323411978781224,2.0077125310897825
1020,367560,420,-0.13345306000000007,1.410032570362091,0.012823273241519929,1.0367371559143066
1040,374760,420,-0.008467300000000013,1.4098332047462463,0.021090668439865113,2.3584442257881166
1060,381960,420,0.35631163,1.4093016982078552,0.022907987236976624,2.406429481506348
1080,389160,420,0.29363295,1.4090574622154235,-0.0023860007524490355,1.1874555230140686
